company_id,company_name,date,transaction_id,vendor,category,type,amount,balance,data_origin
code_and_coffee,Code & Coffee GmbH,2022-05-28,CC00030,Coffee Supplier,Supplies,Debit,435,3401.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-04,CC00031,Coffee Supplier,Marketing,Debit,107,3508.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-06,CC00032,Payment to CC,Payment,Credit,551,2957.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-11,CC00033,Facebook Ads,Utilities,Debit,457,3414.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-13,CC00034,Payment to CC,Payment,Credit,392,3022.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-18,CC00035,Utility Company,Supplies,Debit,410,3432.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-25,CC00036,Coffee Supplier,Supplies,Debit,513,3945.0,original
code_and_coffee,Code & Coffee GmbH,2022-07-02,CC00037,Utility Company,Other,Debit,235,4180.0,original
code_and_coffee,Code & Coffee GmbH,2022-07-09,CC00038,Local Print Shop,Marketing,Debit,574,4754.0,original
code_and_coffee,Code & Coffee GmbH,2022-07-16,CC00039,Facebook Ads,Utilities,Debit,388,5142.0,original
code_and_coffee,Code & Coffee GmbH,2022-07-23,CC00040,Facebook Ads,Other,Debit,241,5383.0,original
code_and_coffee,Code & Coffee GmbH,2022-07-30,CC00041,Coffee Supplier,Other,Debit,189,5572.0,original
code_and_coffee,Code & Coffee GmbH,2022-08-01,CC00042,Payment to CC,Payment,Credit,774,4798.0,original
code_and_coffee,Code & Coffee GmbH,2022-08-06,CC00043,Facebook Ads,Marketing,Debit,172,4970.0,original
code_and_coffee,Code & Coffee GmbH,2022-08-13,CC00044,Facebook Ads,Marketing,Debit,368,5338.0,original
code_and_coffee,Code & Coffee GmbH,2022-08-20,CC00045,Utility Company,Other,Debit,588,5926.0,original
code_and_coffee,Code & Coffee GmbH,2022-08-27,CC00046,Coffee Supplier,Other,Debit,201,6127.0,original
code_and_coffee,Code & Coffee GmbH,2022-09-03,CC00047,Coffee Supplier,Supplies,Debit,553,6680.0,original
code_and_coffee,Code & Coffee GmbH,2022-09-10,CC00048,Utility Company,Marketing,Debit,378,7058.0,original
code_and_coffee,Code & Coffee GmbH,2022-09-17,CC00049,Coffee Supplier,Supplies,Debit,443,7501.0,original
code_and_coffee,Code & Coffee GmbH,2022-09-24,CC00050,Utility Company,Marketing,Debit,312,7813.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-01,CC00051,Utility Company,Marketing,Debit,298,8111.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-08,CC00052,Facebook Ads,Marketing,Debit,192,8303.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-10,CC00053,Payment to CC,Payment,Credit,696,7607.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-15,CC00054,Local Print Shop,Supplies,Debit,390,7997.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-17,CC00055,Payment to CC,Payment,Credit,202,7795.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-22,CC00056,Coffee Supplier,Other,Debit,184,7979.0,original
code_and_coffee,Code & Coffee GmbH,2022-10-29,CC00057,Local Print Shop,Marketing,Debit,553,8532.0,original
code_and_coffee,Code & Coffee GmbH,2022-11-05,CC00058,Local Print Shop,Marketing,Debit,252,8784.0,original
code_and_coffee,Code & Coffee GmbH,2022-11-12,CC00059,Utility Company,Other,Debit,392,9176.0,original
code_and_coffee,Code & Coffee GmbH,2022-11-19,CC00060,Local Print Shop,Utilities,Debit,142,9318.0,original
code_and_coffee,Code & Coffee GmbH,2022-11-26,CC00061,Local Print Shop,Utilities,Debit,597,9915.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-03,CC00062,Utility Company,Utilities,Debit,120,10035.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-05,CC00063,Payment to CC,Payment,Credit,316,9719.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-10,CC00064,Utility Company,Marketing,Debit,223,9942.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-17,CC00065,Utility Company,Other,Debit,150,10092.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-24,CC00066,Utility Company,Supplies,Debit,569,10661.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-26,CC00067,Payment to CC,Payment,Credit,572,10089.0,original
code_and_coffee,Code & Coffee GmbH,2022-12-31,CC00068,Coffee Supplier,Utilities,Debit,151,10240.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-07,CC00069,Utility Company,Other,Debit,255,10495.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-14,CC00070,Coffee Supplier,Supplies,Debit,519,11014.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-21,CC00071,Local Print Shop,Supplies,Debit,176,11190.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-23,CC00072,Payment to CC,Payment,Credit,658,10532.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-28,CC00073,Utility Company,Other,Debit,362,10894.0,original
code_and_coffee,Code & Coffee GmbH,2023-01-30,CC00074,Payment to CC,Payment,Credit,358,10536.0,original
code_and_coffee,Code & Coffee GmbH,2023-02-04,CC00075,Utility Company,Other,Debit,170,10706.0,original
code_and_coffee,Code & Coffee GmbH,2023-02-11,CC00076,Coffee Supplier,Other,Debit,544,11250.0,original
code_and_coffee,Code & Coffee GmbH,2023-02-18,CC00077,Coffee Supplier,Utilities,Debit,551,11801.0,original
code_and_coffee,Code & Coffee GmbH,2023-02-25,CC00078,Local Print Shop,Marketing,Debit,271,12072.0,original
code_and_coffee,Code & Coffee GmbH,2023-03-04,CC00079,Facebook Ads,Utilities,Debit,478,12550.0,original
code_and_coffee,Code & Coffee GmbH,2023-03-11,CC00080,Coffee Supplier,Other,Debit,376,12926.0,original
code_and_coffee,Code & Coffee GmbH,2023-03-13,CC00081,Payment to CC,Payment,Credit,720,12206.0,original
code_and_coffee,Code & Coffee GmbH,2023-03-18,CC00082,Coffee Supplier,Other,Debit,370,12576.0,original
code_and_coffee,Code & Coffee GmbH,2023-03-25,CC00083,Coffee Supplier,Other,Debit,224,12800.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-01,CC00084,Coffee Supplier,Utilities,Debit,148,12948.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-08,CC00085,Local Print Shop,Utilities,Debit,149,13097.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-15,CC00086,Coffee Supplier,Marketing,Debit,266,13363.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-17,CC00087,Payment to CC,Payment,Credit,638,12725.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-22,CC00088,Facebook Ads,Utilities,Debit,341,13066.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-24,CC00089,Payment to CC,Payment,Credit,307,12759.0,original
code_and_coffee,Code & Coffee GmbH,2023-04-29,CC00090,Facebook Ads,Utilities,Debit,325,13084.0,original
code_and_coffee,Code & Coffee GmbH,2023-05-06,CC00091,Local Print Shop,Marketing,Debit,249,13333.0,original
code_and_coffee,Code & Coffee GmbH,2023-05-13,CC00092,Utility Company,Other,Debit,575,13908.0,original
code_and_coffee,Code & Coffee GmbH,2023-05-20,CC00093,Coffee Supplier,Marketing,Debit,556,14464.0,original
code_and_coffee,Code & Coffee GmbH,2023-05-27,CC00094,Facebook Ads,Supplies,Debit,353,14817.0,original
code_and_coffee,Code & Coffee GmbH,2023-05-29,CC00095,Payment to CC,Payment,Credit,462,14355.0,original
code_and_coffee,Code & Coffee GmbH,2023-06-03,CC00096,Coffee Supplier,Utilities,Debit,184,14539.0,original
code_and_coffee,Code & Coffee GmbH,2023-06-10,CC00097,Utility Company,Marketing,Debit,224,14763.0,original
code_and_coffee,Code & Coffee GmbH,2023-06-17,CC00098,Local Print Shop,Other,Debit,586,15349.0,original
code_and_coffee,Code & Coffee GmbH,2023-06-24,CC00099,Coffee Supplier,Supplies,Debit,167,15516.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-01,CC00100,Facebook Ads,Supplies,Debit,266,15782.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-03,CC00101,Payment to CC,Payment,Credit,552,15230.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-08,CC00102,Utility Company,Marketing,Debit,263,15493.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-15,CC00103,Coffee Supplier,Marketing,Debit,478,15971.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-22,CC00104,Facebook Ads,Other,Debit,368,16339.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-24,CC00105,Payment to CC,Payment,Credit,716,15623.0,original
code_and_coffee,Code & Coffee GmbH,2023-07-29,CC00106,Utility Company,Other,Debit,527,16150.0,original
code_and_coffee,Code & Coffee GmbH,2023-08-05,CC00107,Local Print Shop,Supplies,Debit,329,16479.0,original
code_and_coffee,Code & Coffee GmbH,2023-08-12,CC00108,Facebook Ads,Supplies,Debit,399,16878.0,original
code_and_coffee,Code & Coffee GmbH,2023-08-19,CC00109,Coffee Supplier,Utilities,Debit,425,17303.0,original
code_and_coffee,Code & Coffee GmbH,2023-08-26,CC00110,Facebook Ads,Utilities,Debit,201,17504.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-02,CC00111,Local Print Shop,Other,Debit,385,17889.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-09,CC00112,Local Print Shop,Marketing,Debit,541,18430.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-11,CC00113,Payment to CC,Payment,Credit,486,17944.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-16,CC00114,Facebook Ads,Utilities,Debit,402,18346.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-23,CC00115,Coffee Supplier,Marketing,Debit,545,18891.0,original
code_and_coffee,Code & Coffee GmbH,2023-09-30,CC00116,Facebook Ads,Other,Debit,111,19002.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-07,CC00117,Utility Company,Other,Debit,567,19569.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-14,CC00118,Local Print Shop,Utilities,Debit,378,19947.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-16,CC00119,Payment to CC,Payment,Credit,716,19231.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-21,CC00120,Local Print Shop,Other,Debit,567,19798.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-28,CC00121,Coffee Supplier,Marketing,Debit,220,20018.0,original
code_and_coffee,Code & Coffee GmbH,2023-10-30,CC00122,Payment to CC,Payment,Credit,605,19413.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-04,CC00123,Local Print Shop,Utilities,Debit,565,19978.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-11,CC00124,Local Print Shop,Supplies,Debit,371,20349.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-13,CC00125,Payment to CC,Payment,Credit,708,19641.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-18,CC00126,Local Print Shop,Marketing,Debit,241,19882.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-20,CC00127,Payment to CC,Payment,Credit,777,19105.0,original
code_and_coffee,Code & Coffee GmbH,2023-11-25,CC00128,Facebook Ads,Supplies,Debit,460,19565.0,original
code_and_coffee,Code & Coffee GmbH,2023-12-02,CC00129,Facebook Ads,Utilities,Debit,556,20121.0,original
code_and_coffee,Code & Coffee GmbH,2023-12-09,CC00130,Utility Company,Supplies,Debit,289,20410.0,original
code_and_coffee,Code & Coffee GmbH,2023-12-16,CC00131,Coffee Supplier,Utilities,Debit,410,20820.0,original
code_and_coffee,Code & Coffee GmbH,2023-12-23,CC00132,Coffee Supplier,Other,Debit,242,21062.0,original
code_and_coffee,Code & Coffee GmbH,2023-12-30,CC00133,Local Print Shop,Utilities,Debit,589,21651.0,original
